"ID","area","name","translation","createdDate","creater"
"1","1","DevOps",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"2","1","Internet Applications",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"3","1","Open Source",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"4","1","Operating Systems",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"5","1","Programming",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"6","1","Software Applications",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"7","1","Software Development",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"8","1","Web Services, SOA",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"9","2","Computing Fundamentals",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"10","2","Electronics",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"11","2","Fast References",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"12","2","IT Standards and organizations",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"13","2","Learning Guides",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"14","2","Mathematics",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"15","2","Microprocessors",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"16","2","Nanotechnology",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"17","2","Protocols",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"18","2","Quizzes",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"19","2","Robotics",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"20","3","Cloud Computing",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"21","3","Converged Infrastructure",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"22","3","Data Center Management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"23","3","Disaster recovery",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"24","3","Hardware",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"25","3","IT Operations",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"26","3","Storage Hardware",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"27","3","Virtualization",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"28","4","Business and ERP",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"29","4","Business Software",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"30","4","Compliance",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"31","4","CRM",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"32","4","Goverment IT",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"33","4","Healthcare IT",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"34","4","HR management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"35","4","IT Procurement",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"36","4","Network Administrator",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"37","4","Project Management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"38","4","Security Management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"39","4","SEO",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"40","4","Software Management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"41","4","Storage Management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"42","5","Circuit switched services equipment and providers",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"43","5","Data transmission",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"44","5","Email and messaging",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"45","5","High-speed network",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"46","5","Internet of Things IOT",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"47","5","Local Area Networks LANs",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"48","5","Network hardware","Сүлжээний төхөөрөмж","2018-02-28 15:49:59","naraalkj@gmail.com"
"49","5","Network Software",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"50","5","Networking and Communications",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"51","5","Routing and Switching",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"52","5","Smart Grid",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"53","5","Telecom",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"54","5","Voice over IP VoIP",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"55","5","Wireless LANs",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"56","5","Wireless technologies",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"57","6","Application security",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"58","6","Authentication",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"59","6","Malware",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"60","6","Network Security",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"61","6","Security threats and countermeasures",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"62","6","Spyware",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"63","7","Backup and recovery",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"64","7","Business intelligence",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"65","7","Content management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"66","7","Customer data management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"67","7","Data and Data management",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"68","7","Data deduplication",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"69","7","Database",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"70","7","Network-attached storage NAS",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"71","7","Solid state storage",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
"72","7","Storage-area network SAN",NULL,"2018-02-28 15:49:59","naraalkj@gmail.com"
