"ID","word","translation","explanation","area","creater","createdDate"
"1","1","өгөгдлийн холбооны систем","Хоёр төхөөрөмж хооронд дамжуулах орчин ашиглан өгөгдөл солилцох процессийг хэлнэ.","48","battsetseg@sict.edu.mn","2015-06-29 03:47:28"
"2","2","цахилгаан холбоо, харилцаа холбоо",,"12","battsetseg@sict.edu.mn","2015-06-29 04:08:48"
"3","3","өгөгдөл",,"12","battsetseg@sict.edu.mn","2015-06-29 04:09:38"
"4","4","дамжуулалт",,"48","battsetseg@sict.edu.mn","2015-06-29 04:10:54"
"5","5","найдваржилт",,"48","battsetseg@sict.edu.mn","2015-06-29 04:11:18"
"6","6","протокол","Өгөгдлийн холбооны системийг удирдан зохион байгуулж буй дүрмүүдийн цогц.","48","battsetseg@sict.edu.mn","2015-06-29 04:13:11"
"7","7","хагас дуплекс","Мэдээлэл солилцож буй хоёр төхөөрөмж хооронд дамжигдаж буй өгөгдлийн дамжууллын горим. Энэ горимын үед төхөөрөмж илгээгч ба хүлээн авагчийн аль алины үүргийг гүйцэтгэх ч тухайн хугацаанд зөвхөн нэг чигийн дамжуулал хийгдэнэ.","48","battsetseg@sict.edu.mn","2015-06-29 04:19:11"
"8","8","дуплекс, бүрэн дуплекс","Мэдээлэл солилцож буй хоёр төхөөрөмж хооронд дамжигдаж буй өгөгдлийн дамжууллын горим. Энэ горимын үед илгээх ба хүлээн авах үйлдлийн зэрэг хийнэ.","48","battsetseg@sict.edu.mn","2015-06-29 04:22:45"
"776","47","интерфэйс",,"10","mgl229@yahoo.com","2015-11-18 02:38:19"
"10","9","дамжууллын горим",,"48","battsetseg@sict.edu.mn","2015-06-29 06:57:23"
"11","10","сүлжээний гүйцэтгэл",,"48","battsetseg@sict.edu.mn","2015-06-29 06:59:59"
"39","34","хэрэглээний түвшин",,"48","battsetseg@sict.edu.mn","2015-09-16 02:39:53"
"15","10","сүлжээний хүчин чадал",,"48","battsetseg@sict.edu.mn","2015-09-11 04:46:27"
"16","12","цуваа тополог",,"48","battsetseg@sict.edu.mn","2015-09-11 04:50:00"
"17","13","зангилаа төхөөрөмж",,"48","battsetseg@sict.edu.mn","2015-09-11 04:51:40"
"18","14","дүрс",,"48","battsetseg@sict.edu.mn","2015-09-11 04:52:13"
"19","15","интернэтийн үйлчилгээ үзүүлэгч",,"48","battsetseg@sict.edu.mn","2015-09-11 04:52:52"
"20","16","торон тополог",,"48","battsetseg@sict.edu.mn","2015-09-11 04:53:17"
"21","17","мессеж",,"48","battsetseg@sict.edu.mn","2015-09-11 04:53:36"
"22","18","олон цэгийн холболт","Олон цэгийн холболтын үед хоёроос олон төхөөрөмж нэг шугамд холбогдоно. Олон цэгийн орчинд сувгийн багтаамжийг хэсэгчилж эсвэл хугацаагаар нь хувааж ашиглана. Хэрэв олон төхөөрөмж шугамыг зэрэг ашиглаж байвал хэсэгчлэн ашиглах (spatially shared) холболт гэнэ. Харин хэрэглэгчид хугацааны хувьд ээлжилж сувгийг ашиглаж байвал хугацаагаар нь хувааж ашиглах (timeshared) холболт гэдэг.","48","battsetseg@sict.edu.mn","2016-11-05 16:10:42"
"23","19","сүлжээнд хандах төхөөрөмж",,"48","battsetseg@sict.edu.mn","2015-09-11 04:55:05"
"24","20","физик тополог",,"48","battsetseg@sict.edu.mn","2015-09-11 04:55:39"
"25","21","логик тополог",,"48","battsetseg@sict.edu.mn","2015-09-11 04:55:55"
"26","22","цэгээс-цэгт холболт","Цэгээс-цэгт холболт нь хоёр төхөөрөмжийг холбож байгаа шугамын холболтоор үүсгэгддэг бөгөөд суваг бүхэлдээ тухайн хоёр төхөөрөмжид зориулагдана. Ихэнх цэгээс-цэгт холболтын үед кабелийн төгсгөлд төгсгөлийн төхөөрөмж холбогддог.","48","battsetseg@sict.edu.mn","2016-11-05 16:08:56"
